Register Number,Exam,OB,LOT,MOT,HOT,TOTAL Not needed for Calc,,,,,,
23MCA093,CIA - I,,17,32,7,56,,,,,,
,CIA - II,,16,37,8,61,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,43,69,15,127,,,,,,
,ESE,,,,,0,,,,,,
23MCA094,CIA - I,,25,28,7,60,,,,,,
,CIA - II,,12,31,7,50,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,47,59,14,120,,,,,,
,ESE,,,,,0,,,,,,
23MCA095,CIA - I,,23,32,8,63,,,,,,
,CIA - II,,0,0,0,0,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,33,32,8,73,,,,,,
,ESE,,,,,0,,,,,,
23MCA096,CIA - I,,23,31,7,61,,,,,,
,CIA - II,,22,42,0,64,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,55,73,7,135,,,,,,
,ESE,,,,,0,,,,,,
23MCA097,CIA - I,,21,32,5,58,,,,,,
,CIA - II,,20,34,8,62,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,51,66,13,130,,,,,,
,ESE,,,,,0,,,,,,
23MCA098,CIA - I,,18,33,9,60,,,,,,
,CIA - II,,18,27,8,53,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,46,60,17,123,,,,,,
,ESE,,,,,0,,,,,,
23MCA099,CIA - I,,17,11,2,30,,,,,,
,CIA - II,,21,32,8,61,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,48,43,10,101,,,,,,
,ESE,,,,,0,,,,,,
23MCA100,CIA - I,,16,32,9,57,,,,,,
,CIA - II,,14,34,8,56,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,40,66,17,123,,,,,,
,ESE,,,,,0,,,,,,
23MCA101,CIA - I,,19,25,7,51,,,,,,
,CIA - II,,18,19,4,41,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,47,44,11,102,,,,,,
,ESE,,,,,0,,,,,,
23MCA102,CIA - I,,14,26,7,47,,,,,,
,CIA - II,,14,36,7,57,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,38,62,14,114,,,,,,
,ESE,,,,,0,,,,,,
23MCA103,CIA - I,,24,35,9,68,,,,,,
,CIA - II,,21,37,9,67,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,55,72,18,145,,,,,,
,ESE,,,,,0,,,,,,
23MCA104,CIA - I,,19,30,7,56,,,,,,
,CIA - II,,14,32,8,54,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,43,62,15,120,,,,,,
,ESE,,,,,0,,,,,,
23MCA105,CIA - I,,25,31,0,56,,,,,,
,CIA - II,,8,28,8,44,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,43,59,8,110,,,,,,
,ESE,,,,,0,,,,,,
23MCA106,CIA - I,,26,27,7,60,,,,,,
,CIA - II,,14,30,7,51,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,50,57,14,121,,,,,,
,ESE,,,,,0,,,,,,
23MCA107,CIA - I,,23,34,8,65,,,,,,
,CIA - II,,19,37,8,64,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,52,71,16,139,,,,,,
,ESE,,,,,0,,,,,,
23MCA108,CIA - I,,27,25,8,60,,,,,,
,CIA - II,,19,34,3,56,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,56,59,11,126,,,,,,
,ESE,,,,,0,,,,,,
23MCA109,CIA - I,,10,26,7,43,,,,,,
,CIA - II,,16,29,3,48,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,36,55,10,101,,,,,,
,ESE,,,,,0,,,,,,
23MCA110,CIA - I,,21,20,2,43,,,,,,
,CIA - II,,16,28,6,50,,,,,,
,Ass - I,3,5,,,5,,,,,,
,Ass - II,3,5,,,5,,,,,,
,Total,,47,48,8,103,,,,,,
,ESE,,,,,0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,No of Students above 60% of marks in LOT - 40.8;  MOT - 43.2; HOT - 12 (Total 18 Students),,,,,,,14,16,10,,
,"No of Students above 60% of marks in LOT, MOT, HOT in Percentage ",,,,,,,77.78,88.89,55.56,,
CIA,Attainment Level,,,,,,,3,3,1,,
,,,,,,,,,,,,
,No of Students above 60% of marks in  LOT - 17.4;  MOT - 21.6; HOT - 6 (Total 18 Students),,,,,,,0,0,0,,
,"No of Students above 60% of marks in LOT, MOT, HOT in Percentage ",,,,,,,0,0,0,,
ESE,Attainment Level,,,,,,,0,0,0,,
,,,,,,,,,,,,
,Overall CO Attainment,,,,,,,1.5,1.5,0.5,,
,Course Attainment Level,,,,,,,1.17,,,,
,Course Attainment Level - Direct Method (80%),,,,,,,0.93,,,,
,,,,,,,,,,,,
,PSO - CO Mapped Value,,,,,,,,,,,
,PSO 1,,,,,,,3,3,3,2,2
,PSO 2,,,,,,,3,2,2,2,1
,PSO 3,,,,,,,1,2,0,1,2
,PSO 4,,,,,,,2,3,2,1,0
,PSO 5,,,,,,,2,2,1,0,2
,,,,,,,,,,,,
,PSA - the level of attainment of each PSO in a course,,,,,,,0.81,0.85,0.75,1.06,0.93
,The Mean PSA refers the PSO for that course,,,,,,,0.88,,,,
,,,,,,,,,,,,
,,,,,ESE,,,,,,,
,,,,,CO,CO-Max Marks,,60% of COs,70% of COs,,,
,,,,,LOT,29,,17.4,20.3,,,
,,,,,MOT,36,,21.6,25.2,,,
,,,,,HOT,10,,6,7,,,
